"Lon","Lat","Area_km2","Eastings","Northings","Depth_m","REP_AREA","STRATUM","LOG10_DEPTH_M","LOG10_DEPTH_M_CEN"
-135.10974,55.820914,13.719616,1166969.75797795,812651.763122762,191,"650",152,2.28103336724773,0.590215148788918
-135.05298,55.811574,13.719616,1170673.64257197,812651.726577678,187,"650",152,2.2718416065365,0.55682564651941
-134.99624,55.8022067,13.719616,1174378.03261803,812651.846213222,197,"650",152,2.29446622616159,0.639010639368061
-134.93954,55.792812,13.719616,1178081.7335282,812651.756986674,182,"650",152,2.26007138798507,0.514069775105644
-134.88286,55.78339,13.719616,1181785.94846259,812651.822585725,198.234817504883,"650",152,2.29717993532712,0.64886831530066
-134.82621,55.7739407,13.719616,1185490.0806785,812651.864949837,205.123458862305,"650",252,2.31201533112337,0.702758586943918
-134.7696,55.7644641,13.719616,1189193.53342764,812651.703795628,198.784255981445,"650",152,2.29838198463299,0.653234815831663
-134.71301,55.7549602,13.719616,1192897.51299006,812651.695486979,200.317031860352,"650",152,2.30171787654521,0.665352599798515
-134.65644,55.745429,13.719616,1196602.02361751,812651.840495517,195.355911254883,"650",152,2.2908265570327,0.62578937040151
-134.59991,55.7358707,13.719616,1200305.86111496,812651.799166823,199.418640136719,"650",152,2.29976575041577,0.658261409995294
-134.54341,55.7262851,13.719616,1204009.63711661,812651.728583618,197.089614868164,"650",152,2.29466374084832,0.639728120739458
-134.48693,55.7166723,13.719616,1207713.95364132,812651.820088676,192.502182006836,"650",152,2.2844356565882,0.602574124530779
-134.43049,55.7070324,13.719616,1211417.60963219,812651.720015959,189.729476928711,"650",152,2.27813480939672,0.579686001329036
-134.37407,55.6973653,13.719616,1215121.81452671,812651.780792473,187.222778320312,"650",152,2.27235868573228,0.558703960971178
